,ConfigDpreds,Configlabs
336,0.0170219,0
337,0.034144714,0
338,0.27083218,0
339,0.12979521,0
340,0.04012346,0
341,0.024846816,0
342,0.0006782428,0
343,0.0041376897,0
344,0.015652882,0
345,0.003436601,0
346,0.03612482,0
347,0.0028385767,0
348,0.04887747,0
349,0.03049518,0
350,0.24067478,0
351,0.30659288,0
352,0.39918554,0
353,0.25593913,0
354,0.23943579,0
355,0.041351993,0
356,0.088622846,0
357,0.019909909,0
358,0.021925455,0
359,0.033552617,0
360,0.05044187,0
361,0.1183706,0
362,0.43582764,0
363,0.5486957,0
364,0.045645118,0
365,0.046457738,0
366,0.07350721,0
367,0.03702558,0
368,0.02021247,0
369,0.03134085,0
370,0.014492938,0
371,0.06960397,0
372,0.010791778,0
373,0.01739797,0
374,0.013615987,0
375,0.20935352,0
376,0.016770065,0
377,0.055195183,0
378,0.07618097,0
379,0.070072554,0
380,0.62897533,0
381,0.040235493,0
382,0.08295355,0
383,0.022234196,0
384,0.0776883,0
385,0.33652034,0
386,0.05113168,0
387,0.036466077,0
388,0.004167853,0
389,0.037732568,0
390,0.050345276,0
391,0.17548764,0
392,0.39315662,0
393,0.23202622,0
394,0.041940264,0
395,0.52350396,0
396,0.014886387,0
397,0.024528706,0
398,0.01113501,0
399,0.0052464386,0
400,0.0135339,0
401,0.0018957152,0
402,0.008885659,0
403,0.012331139,0
404,0.021742243,0
405,0.23415206,0
406,0.00095508376,0
407,0.10125685,0
408,0.05471918,0
409,0.11406088,0
410,0.09440393,0
411,0.12692888,0
412,0.18045877,0
413,0.052332826,0
414,0.052414313,0
415,0.18520054,0
416,0.010842949,0
417,0.029447494,0
418,0.031433932,0
419,0.13319966,0
420,0.014098281,0
421,0.08779515,0
422,0.0040298705,0
423,0.29773533,0
424,0.7078035,0
425,0.032296818,0
426,0.18839063,0
427,0.12926215,0
428,0.054245573,0
429,0.017199764,0
430,0.025889382,0
431,0.0141473515,0
432,0.1251404,0
433,0.00027879464,0
434,0.0068240906,0
435,0.003237503,0
436,0.019048756,0
437,0.008089164,0
438,0.04309022,0
439,0.010937033,0
440,0.029292464,0
441,0.0012136342,0
442,0.0057652104,0
443,0.00030284462,0
444,0.009232795,0
445,0.021967374,0
446,0.10629783,0
447,0.10389142,0
448,0.009813593,0
449,0.00028888477,0
450,0.006110618,0
451,0.002551052,0
452,0.016574444,0
453,0.01209663,0
454,0.0018843702,0
455,0.127378,0
456,0.056837577,0
457,0.022808943,0
458,0.042351183,0
459,0.055334926,0
460,0.04594252,0
461,0.015714068,0
462,0.26520905,0
463,0.0014540241,0
464,3.2914613e-05,0
465,0.03999262,0
466,0.10998778,0
467,0.0987345,0
468,6.121282e-05,0
469,0.23735796,0
470,0.0005755616,0
471,0.122088,0
472,0.42527884,0
473,0.1388643,0
474,0.0044804933,0
475,0.0029215103,0
476,0.0599175,0
477,0.120379835,0
478,0.009026125,0
479,0.000719011,0
480,0.030771239,0
481,0.046453778,0
482,0.043321796,0
483,0.0143457865,0
484,0.017839203,0
485,0.081338726,0
486,0.12885654,0
487,0.21401776,0
488,0.03701662,0
489,0.017914265,0
490,0.0712079,0
491,0.048667483,0
492,0.25158927,0
493,0.24950454,0
494,0.15822792,0
495,0.7898861,0
496,0.13195094,0
497,0.13249397,0
498,0.014457069,0
499,0.066808626,0
500,0.04686026,0
501,0.044429824,0
502,0.02150791,0
503,0.010809018,0
504,0.053094175,0
505,0.02415225,0
506,0.0824654,0
507,0.14439608,0
508,0.026536135,0
509,0.018884838,0
510,0.07188468,0
511,0.056835353,0
512,0.095699675,0
513,0.01702648,0
514,0.0868592,0
515,0.029389955,0
516,0.018398201,0
517,0.014881927,0
518,0.0042879777,0
519,0.048906032,0
520,0.016477238,0
521,0.67039526,0
522,0.010150615,0
523,0.03392949,0
524,0.013816575,0
525,0.15754472,0
526,0.009496588,0
527,0.017779632,0
528,0.019575799,0
529,0.07940398,0
530,0.004702455,0
531,0.082174696,0
532,0.04748036,0
533,0.011547831,0
534,0.02398157,0
535,0.05544414,0
536,0.032353573,0
537,0.23861207,0
538,0.057970393,0
539,0.120799735,0
540,0.0017255069,0
541,0.069481,0
542,0.050156415,0
543,0.23407784,0
544,0.28262806,0
545,0.021912722,0
546,0.05772615,0
547,0.020161469,0
548,0.02868986,0
